stretch,Genotype
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
7,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
8,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
9,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
10,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
11,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
12,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
13,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
14,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
15,Col T1 EVD 95
16,Col T1 EVD 95
16,Col T1 EVD 95
16,Col T1 EVD 95
16,Col T1 EVD 95
16,Col T1 EVD 95
16,Col T1 EVD 95
16,Col T1 EVD 95
16,Col T1 EVD 95
16,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
17,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
18,Col T1 EVD 95
19,Col T1 EVD 95
19,Col T1 EVD 95
19,Col T1 EVD 95
19,Col T1 EVD 95
19,Col T1 EVD 95
19,Col T1 EVD 95
20,Col T1 EVD 95
20,Col T1 EVD 95
20,Col T1 EVD 95
20,Col T1 EVD 95
20,Col T1 EVD 95
20,Col T1 EVD 95
20,Col T1 EVD 95
20,Col T1 EVD 95
20,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
21,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
22,Col T1 EVD 95
23,Col T1 EVD 95
23,Col T1 EVD 95
23,Col T1 EVD 95
23,Col T1 EVD 95
23,Col T1 EVD 95
23,Col T1 EVD 95
23,Col T1 EVD 95
23,Col T1 EVD 95
23,Col T1 EVD 95
24,Col T1 EVD 95
24,Col T1 EVD 95
24,Col T1 EVD 95
24,Col T1 EVD 95
24,Col T1 EVD 95
24,Col T1 EVD 95
25,Col T1 EVD 95
25,Col T1 EVD 95
25,Col T1 EVD 95
25,Col T1 EVD 95
25,Col T1 EVD 95
25,Col T1 EVD 95
26,Col T1 EVD 95
26,Col T1 EVD 95
26,Col T1 EVD 95
26,Col T1 EVD 95
26,Col T1 EVD 95
26,Col T1 EVD 95
26,Col T1 EVD 95
26,Col T1 EVD 95
27,Col T1 EVD 95
27,Col T1 EVD 95
27,Col T1 EVD 95
28,Col T1 EVD 95
28,Col T1 EVD 95
28,Col T1 EVD 95
28,Col T1 EVD 95
28,Col T1 EVD 95
29,Col T1 EVD 95
30,Col T1 EVD 95
30,Col T1 EVD 95
30,Col T1 EVD 95
30,Col T1 EVD 95
30,Col T1 EVD 95
30,Col T1 EVD 95
31,Col T1 EVD 95
31,Col T1 EVD 95
31,Col T1 EVD 95
31,Col T1 EVD 95
31,Col T1 EVD 95
31,Col T1 EVD 95
31,Col T1 EVD 95
32,Col T1 EVD 95
32,Col T1 EVD 95
32,Col T1 EVD 95
33,Col T1 EVD 95
34,Col T1 EVD 95
35,Col T1 EVD 95
35,Col T1 EVD 95
37,Col T1 EVD 95
37,Col T1 EVD 95
38,Col T1 EVD 95
38,Col T1 EVD 95
38,Col T1 EVD 95
38,Col T1 EVD 95
39,Col T1 EVD 95
39,Col T1 EVD 95
39,Col T1 EVD 95
41,Col T1 EVD 95
41,Col T1 EVD 95
41,Col T1 EVD 95
42,Col T1 EVD 95
42,Col T1 EVD 95
43,Col T1 EVD 95
43,Col T1 EVD 95
44,Col T1 EVD 95
44,Col T1 EVD 95
47,Col T1 EVD 95
47,Col T1 EVD 95
48,Col T1 EVD 95
48,Col T1 EVD 95
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
1,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
2,Col_Endo-EVD
